id,name,latitude,longitude,departures,arrivals,combined,docks,launch
440,"Central Park Ave & 24th St",41.8481,-87.715068,298,298,596,11,2015
571,"Vernon Ave & 75th St",41.758361,-87.614138,289,289,578,11,2016
535,"Pulaski Rd & Congress Pkwy",41.874325,-87.725704,283,283,566,11,2016
553,"Elizabeth St & 47th St",41.80839,-87.656526,280,280,560,11,2016
572,"State St & 76th St",41.756971,-87.624621,262,262,524,11,2016
545,"Kostner Ave & Adams St",41.877917,-87.735737,257,257,514,11,2016
533,"Central Park Blvd & 5th Ave",41.875679,-87.71547,253,253,506,11,2016
531,"Central Ave & Lake St",41.887664,-87.765469,235,235,470,11,2016
579,"Phillips Ave & 79th St",41.75182,-87.565211,228,228,456,11,2016
409,"Shields Ave & 43rd St",41.81620767856,-87.6348193497,225,225,450,11,2015
393,"Calumet Ave & 71st St",41.76550800581,-87.616917925,218,218,436,11,2015
530,"Laramie Ave & Kinzie St",41.887832,-87.755527,204,204,408,11,2016
660,"Sheridan Rd & Columbia Ave",42.004583,-87.661406,200,200,400,15,2018
574,"Vernon Ave & 79th St",41.75094,-87.61379,198,198,396,11,2016
632,"Clark St & Newport St",41.94454,-87.654678,194,194,388,15,2018
536,"Kostner Ave & Lake St",41.885928,-87.73541,191,191,382,11,2016
543,"Laramie Ave & Gladys Ave",41.875806,-87.755285,191,191,382,11,2016
586,"MLK Jr Dr & 83rd St",41.743116,-87.6148,191,191,382,11,2016
541,"Central Ave & Harrison St",41.872993,-87.764499,189,189,378,11,2016
529,"Cicero Ave & Lake St",41.886841,-87.745261,186,186,372,11,2016
554,"Damen Ave & 51st St",41.800908,-87.674684,181,181,362,7,2016
542,"Central Ave & Madison St",41.880121,-87.763238,180,180,360,11,2016
577,"Stony Island Ave & South Chicago Ave",41.751173,-87.585337,180,180,360,11,2016
641,"Central Park Ave & Bloomingdale Ave",41.914166,-87.716755,175,175,350,11,2018
555,"Ashland Ave & 50th St",41.803023,-87.664699,170,170,340,11,2016
578,"Bennett Ave & 79th St",41.751785,-87.578496,170,170,340,11,2016
563,"Ashland Ave & 63rd St",41.779374,-87.664843,165,165,330,11,2016
576,"Greenwood Ave & 79th St",41.751294,-87.597552,158,158,316,11,2016
384,"Halsted St & 51st St",41.80183164049,-87.645213904,153,153,306,11,2015
583,"Stony Island Ave & 82nd St",41.746559,-87.586005,152,152,304,11,2016
587,"Wabash Ave & 83rd St",41.743316,-87.622849,150,150,300,11,2016
655,"Hoyne Ave & Balmoral Ave",41.979851,-87.681932,150,150,300,15,2018
567,"May St & 69th St",41.768938,-87.652934,148,148,296,11,2016
658,"Leavitt St & Division St (*)",41.902997,-87.683825,147,147,294,16,2018
595,"Wabash Ave & 87th St",41.736646,-87.622634,145,145,290,11,2016
540,"Laramie Ave & Madison St",41.880207,-87.755337,138,138,276,11,2016
539,"Cicero Ave & Quincy St",41.877613,-87.745405,130,130,260,11,2016
566,"Ashland Ave & 69th St",41.768726,-87.664069,129,129,258,11,2016
550,"Central Ave & Chicago Ave",41.894958,-87.764902,127,127,254,11,2016
548,"Morgan St & Pershing Rd",41.823613,-87.650931,123,123,246,7,2016
643,"Smith Park (*)",41.892048,-87.689397,119,119,238,16,2018
549,"Marshfield Ave & 44th St",41.813996,-87.666589,117,117,234,11,2016
656,"Damen Ave & Walnut (Lake) St (*)",41.885951,-87.677009,117,117,234,16,2018
537,"Kenton Ave & Madison St",41.880708,-87.741018,100,100,200,11,2016
559,"Racine Ave & Garfield Blvd",41.794228,-87.655073,100,100,200,11,2016
588,"South Chicago Ave & 83rd St",41.743921,-87.575225,89,89,178,11,2016
568,"Normal Ave & 72nd St",41.763462,-87.637297,85,85,170,7,2016
564,"Racine Ave & 65th St",41.775393,-87.654308,83,83,166,11,2016
561,"Damen Ave & 59th St",41.78602,-87.674167,81,81,162,11,2016
560,"Marshfield Ave & 59th St",41.786833,-87.666215,77,77,154,11,2016
593,"Halsted St & 59th St",41.787539,-87.644874,74,74,148,11,2016
584,"Ellis Ave & 83rd St",41.744123,-87.599034,68,68,136,11,2016
663,"Lincolnwood Dr & Central St",42.064854,-87.715297,68,68,136,15,2018
538,"Cicero Ave & Flournoy St",41.872131,-87.746619,61,61,122,11,2016
569,"Woodlawn Ave & 75th St",41.75916,-87.595751,60,60,120,11,2016
630,"Kildare Ave & Montrose Ave",41.96108,-87.73569,60,60,120,15,2018
581,"Commercial Ave & 83rd St",41.744615,-87.551208,58,58,116,11,2016
556,"Throop St & 52nd St",41.799659,-87.657195,50,50,100,7,2016
558,"Ashland Ave & Garfield Blvd",41.792822,-87.664429,46,46,92,11,2016
662,"Dodge Ave & Mulford St",42.023463,-87.699595,46,46,92,15,2018
557,"Seeley Ave & Garfield Blvd",41.794087,-87.675478,44,44,88,11,2016
640,"Bernard St & Elston Ave",41.949923,-87.713949,43,43,86,11,2018
